"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
2.0;"bagweje01";0.3792250414593698;0.5159;0.3196;0.1963;0.6433
16.0;"baineha01";0.3834228318584071;0.503;0.3111;0.1919;0.6688
13.0;"baylodo01";0.3575330479452055;0.4944;0.3034;0.191;0.6481
8.0;"bellbu01";0.3704227360308285;0.498;0.3286;0.1694;0.7205
5.0;"bellge02";0.37051644832605535;0.532;0.3089;0.2231;0.6212
2.0;"berkmla01";0.4349289897510981;0.6205;0.331;0.2894;0.5079
7.0;"bicheda01";0.40958121911037887;0.62;0.3402;0.2798;0.5939
10.0;"biggicr01";0.3844269493844049;0.5031;0.3251;0.178;0.6524
3.0;"boggswa01";0.40097093333333333;0.4778;0.3675;0.1103;0.7792
7.0;"bondsba01";0.45521045958795564;0.6772;0.3358;0.3414;0.5138
5.0;"bonilbo01";0.3709202380952381;0.4922;0.3016;0.1906;0.6092
9.0;"boonebr01";0.3963054411764706;0.5778;0.3307;0.2472;0.6262
7.0;"brettge01";0.4582290581162325;0.6637;0.3898;0.2739;0.6229
1.0;"brunato01";0.36546875;0.4708;0.2721;0.1987;0.5952
11.0;"bucknbi01";0.3371195688225539;0.4567;0.3235;0.1332;0.7112
4.0;"butlebr01";0.3493228658536585;0.4315;0.3113;0.1201;0.7446
9.0;"caminke01";0.42211366559485525;0.6209;0.326;0.2949;0.5562
3.0;"cartejo01";0.35681787234042556;0.5143;0.3017;0.2127;0.63
4.0;"castilu01";0.3603479740680713;0.3878;0.334;0.0538;0.8778
7.0;"castivi02";0.39918086956521737;0.5891;0.3194;0.2698;0.6214
3.0;"clarkwi02";0.3972689863842663;0.5459;0.3333;0.2126;0.6429
8.0;"claytro01";0.34067274509803924;0.4452;0.2882;0.157;0.7015
5.0;"colemvi01";0.3217187265917603;0.4004;0.2918;0.1087;0.7724
9.0;"coopece01";0.3865903963414634;0.5386;0.3521;0.1865;0.7169
5.0;"damonjo01";0.36978628257887514;0.4947;0.3267;0.1679;0.6822
3.0;"davisch01";0.37145;0.507;0.3146;0.1924;0.6943
14.0;"dawsoan01";0.3654496428571429;0.535;0.31;0.225;0.6341
7.0;"delgaca01";0.46380620490620494;0.6643;0.3445;0.3199;0.4949
10.0;"deshide01";0.34547225705329154;0.4439;0.2959;0.148;0.6506
4.0;"durhara01";0.35081449275362314;0.4346;0.2958;0.1389;0.7182
4.0;"dyeje01";0.39867473997028224;0.5607;0.3211;0.2396;0.6062
4.0;"erstada01";0.40191562499999994;0.5414;0.355;0.1864;0.7083
15.0;"evansdw01";0.41356482334869427;0.5693;0.305;0.2643;0.5576
7.0;"finlest01";0.3705447552447553;0.5313;0.2977;0.2336;0.5692
10.0;"frymatr01";0.38382286585365855;0.5157;0.3206;0.1951;0.6522
7.0;"gaettga01";0.37757235294117647;0.5513;0.3013;0.25;0.5816
4.0;"gilesbr02";0.4288698387096775;0.6142;0.3148;0.2994;0.5427
5.0;"gilesbr02";0.4258217777777778;0.5939;0.3148;0.2791;0.5511
2.0;"glaustr01";0.4215025297619048;0.6039;0.2842;0.3197;0.4688
9.0;"gonzalu01";0.4002791545189504;0.5489;0.3355;0.2134;0.6359
8.0;"gracema01";0.361315625;0.4552;0.3309;0.1243;0.7293
6.0;"greensh01";0.40628251445086705;0.5879;0.3094;0.2785;0.5421
2.0;"griffke02";0.3809707236842106;0.5274;0.3266;0.2007;0.6369
7.0;"grissma02";0.35478569424964934;0.4888;0.3085;0.1803;0.686
4.0;"grudzma01";0.3516804143126177;0.4365;0.3258;0.1107;0.7799
4.0;"guerrvl01";0.4416453074433657;0.6637;0.345;0.3187;0.5787
8.0;"guilloz01";0.28293298097251585;0.3742;0.2801;0.0941;0.7578
15.0;"gwynnto01";0.39609545454545453;0.5473;0.3716;0.1757;0.6909
3.0;"heltoto01";0.4697702222222222;0.6983;0.3724;0.3259;0.5231
11.0;"henderi01";0.4299462711864407;0.5767;0.3252;0.2515;0.5975
6.0;"herrto01";0.3411192419825073;0.4161;0.302;0.1141;0.7278
7.0;"hrbekke01";0.3818528596187175;0.5196;0.3118;0.2078;0.6478
2.0;"huffau01";0.3724733059548255;0.5198;0.3128;0.207;0.662
13.0;"jacksre01";0.4147119453924915;0.5973;0.2996;0.2977;0.5649
4.0;"jeterde01";0.41995444596443227;0.5518;0.3493;0.2026;0.6804
4.0;"jonesan01";0.38486090534979417;0.5412;0.3034;0.2378;0.608
11.0;"joynewa01";0.3696976608187134;0.4857;0.3275;0.1582;0.7047
8.0;"karroer01";0.38358059467918626;0.5502;0.3045;0.2457;0.5795
2.0;"kendaja01";0.3798225080385852;0.4729;0.3271;0.1458;0.7086
8.0;"kentje01";0.4258840348330915;0.5963;0.3339;0.2624;0.5867
11.0;"lansfca01";0.3510029363784665;0.4047;0.3358;0.069;0.827
3.0;"loftoke01";0.39827470817120625;0.5359;0.3486;0.1874;0.6688
7.0;"martiti02";0.39163055141579733;0.5774;0.2963;0.2811;0.5625
4.0;"mattido01";0.4010647945205479;0.5731;0.3516;0.2216;0.6387
3.0;"mcgeewi01";0.3780255778120184;0.5033;0.3529;0.1503;0.75
13.0;"mcgrifr01";0.4020049261083744;0.552;0.31;0.242;0.6159
9.0;"molitpa01";0.4227235514018692;0.5656;0.3527;0.2129;0.622
4.0;"mondera01";0.3769519637462236;0.5406;0.3101;0.2305;0.5969
7.0;"murphda05";0.3935502222222222;0.5399;0.3022;0.2377;0.6404
13.0;"murraed02";0.3929266025641026;0.5197;0.3297;0.19;0.7228
4.0;"olerujo01";0.4365687306501548;0.5989;0.363;0.2359;0.6
14.0;"oliveal01";0.37884247391952314;0.5138;0.3306;0.1831;0.6716
12.0;"oneilpa01";0.3826664546899841;0.5136;0.3237;0.1899;0.648
13.0;"palmera01";0.4346242424242424;0.6301;0.3239;0.3062;0.5738
7.0;"pendlte01";0.36815166931637516;0.5171;0.3191;0.198;0.6578
11.0;"phillto02";0.37466576319543515;0.3975;0.3127;0.0848;0.8079
5.0;"piazzmi01";0.4462591639871382;0.6385;0.3615;0.277;0.6368
1.0;"pierrju01";0.34557874251497006;0.4149;0.3274;0.0875;0.8069
6.0;"ramirma02";0.455805705229794;0.6628;0.3333;0.3295;0.5345
3.0;"ramirra01";0.308576443768997;0.3682;0.2974;0.0707;0.8649
12.0;"randowi01";0.3625240223463687;0.4143;0.3051;0.1091;0.7591
10.0;"ripkeca01";0.3877358974358975;0.5662;0.3231;0.2431;0.5952
2.0;"rodrial01";0.43453044776119404;0.6306;0.3577;0.2729;0.5767
3.0;"sandbry01";0.37436791907514455;0.5204;0.3145;0.206;0.63
5.0;"saxst01";0.3555227994227994;0.4408;0.3318;0.109;0.7476
15.0;"schmimi01";0.39026387959866216;0.5479;0.2931;0.2548;0.5882
5.0;"smallro02";0.33053118279569893;0.4053;0.2778;0.1276;0.7259
9.0;"smithoz01";0.338862518089725;0.3833;0.3033;0.08;0.7582
12.0;"sosasa01";0.4689545994065281;0.7366;0.3276;0.409;0.455
12.0;"surhobj01";0.3558866206896552;0.4918;0.3076;0.1842;0.6763
6.0;"thomafr04";0.4478468699839486;0.6262;0.3491;0.277;0.6413
9.0;"vanslan01";0.3720080763582966;0.5049;0.3241;0.1808;0.6432
7.0;"vaughmo01";0.4166528443113772;0.5911;0.3366;0.2545;0.6439
10.0;"venturo01";0.38091484848484847;0.5289;0.301;0.2279;0.6045
10.0;"vizquom01";0.3597598145285935;0.4355;0.3328;0.1028;0.7644
7.0;"wallati01";0.3580629107981221;0.5143;0.2985;0.2159;0.5932
6.0;"whitalo01";0.35510704225352113;0.4572;0.3204;0.1369;0.7184
6.0;"whitede03";0.3392200282087447;0.4548;0.2819;0.1729;0.6298
9.0;"whitefr01";0.3274587912087912;0.4695;0.2977;0.1718;0.6026
8.0;"willibe02";0.40993499999999994;0.5364;0.3418;0.1946;0.7079
11.0;"winfida01";0.38222431118314415;0.515;0.3404;0.1746;0.7047
8.0;"yountro01";0.3982716332378224;0.578;0.3307;0.2472;0.5857
10.0;"zeileto01";0.3555783742331289;0.4881;0.2925;0.1956;0.6163
9.0;"anderga01";0.3661883861236802;0.5408;0.315;0.2257;0.592
10.0;"cabreor01";0.31986604584527223;0.3966;0.3009;0.0956;0.7708
5.0;"crawfca02";0.34688300970873787;0.4658;0.3151;0.1507;0.6902
8.0;"dunnad01";0.3904354294478528;0.5293;0.2674;0.2619;0.5411
6.0;"furcara01";0.35091785714285717;0.445;0.2997;0.1453;0.7143
7.0;"guilljo01";0.36089073170731706;0.4973;0.2938;0.2035;0.6506
2.0;"howarry01";0.4410247376311844;0.6592;0.3133;0.346;0.5385
15.0;"hunteto01";0.35305223367697597;0.4513;0.3127;0.1386;0.7545
14.0;"jonesch06";0.4261613559322034;0.6043;0.3372;0.2671;0.5665
9.0;"konerpa01";0.393609375;0.5512;0.3127;0.2385;0.6328
5.0;"leeca01";0.3763873282442748;0.5245;0.3046;0.22;0.6222
8.0;"leede02";0.43868113772455086;0.6616;0.335;0.3266;0.5025
9.0;"lowelmi01";0.3718947611710324;0.5008;0.3243;0.1766;0.6859
5.0;"morame01";0.4160192063492063;0.5618;0.34;0.2218;0.6364
10.0;"ordonma01";0.42842895522388064;0.595;0.363;0.2319;0.6204
10.0;"ortizda01";0.4403514503816794;0.6211;0.3315;0.2896;0.5165
9.0;"polanpl01";0.36275251572327044;0.4583;0.3407;0.1175;0.76
6.0;"ramirar01";0.3973253333333333;0.5777;0.3181;0.2596;0.6034
11.0;"renteed01";0.3707042513863217;0.4696;0.332;0.1377;0.7378
13.0;"rodriiv01";0.37743093145869944;0.5104;0.334;0.1765;0.6989
8.0;"rolensc01";0.42050630323679733;0.598;0.314;0.284;0.5541
7.0;"rolliji01";0.3670191461836999;0.5307;0.2961;0.2346;0.5849
3.0;"soriaal01";0.36784451962110953;0.5474;0.3003;0.2471;0.5598
2.0;"teixema01";0.40081393103448276;0.5745;0.3012;0.2733;0.5515
9.0;"tejadmi01";0.3709995708154506;0.4985;0.3302;0.1682;0.715
4.0;"wellsve01";0.3805714870395634;0.5501;0.3171;0.233;0.5953
10.0;"winnra01";0.33597848484848486;0.4264;0.306;0.1204;0.7268
3.0;"wrighda03";0.4060428368794327;0.5464;0.3245;0.2219;0.6276
11.0;"youngmi02";0.3602670087976539;0.4739;0.3376;0.1363;0.7277
