"playerID";"nameLast";"nameFirst";"ISO";"BA";"speedRatio";"WOBA";"SLG";"yearsPlayed";"finalGame";"debut";"G";"AB";"R";"H";"1B";"2B";"3B";"HR";"RBI";"BB";"SO";"HBP"
"malzofr01";"Malzone";"Frank";0.1253;0.2738;0.7355;0.3063489760798485;0.399;11.0;"1966-10-01";"1955-09-17";1441.0;5428.0;647.0;1486.0;1093.0;239.0;21.0;133.0;728.0;337.0;434.0;17.0
"robinbr01";"Robinson";"Brooks";0.1335;0.2673;0.7128;0.30859996540091694;0.4008;22.0;"1977-08-13";"1955-09-17";2896.0;10654.0;1232.0;2848.0;2030.0;482.0;68.0;268.0;1357.0;860.0;990.0;53.0
"blasido01";"Blasingame";"Don";0.0689;0.2579;0.8089;0.2913388159017233;0.3269;11.0;"1966-08-27";"1955-09-20";1444.0;5296.0;731.0;1366.0;1105.0;178.0;62.0;21.0;308.0;552.0;462.0;15.0
"aparilu01";"Aparicio";"Luis";0.0808;0.2617;0.7874;0.2852530460758577;0.3425;17.0;"1973-09-28";"1956-04-17";2601.0;10230.0;1335.0;2677.0;2108.0;394.0;92.0;83.0;791.0;736.0;742.0;27.0
"lumpeje01";"Lumpe";"Jerry";0.0886;0.2675;0.7801;0.2971721051650196;0.3561;11.0;"1967-10-01";"1956-04-17";1371.0;4912.0;620.0;1314.0;1025.0;190.0;52.0;47.0;454.0;428.0;411.0;8.0
"nealch01";"Neal";"Charlie";0.1357;0.2587;0.7226;0.3142950788471996;0.3945;7.0;"1963-09-29";"1956-04-17";970.0;3316.0;461.0;858.0;620.0;113.0;38.0;87.0;391.0;337.0;557.0;20.0
"robinfr02";"Robinson";"Frank";0.2429;0.2941;0.597;0.38887719847062907;0.537;20.0;"1976-09-18";"1956-04-17";2808.0;10006.0;1829.0;2943.0;1757.0;528.0;72.0;586.0;1812.0;1420.0;1532.0;198.0
"whitebi03";"White";"Bill";0.1698;0.2857;0.6805;0.3434636737178512;0.4555;13.0;"1969-09-24";"1956-05-07";1673.0;5972.0;843.0;1706.0;1161.0;278.0;65.0;202.0;870.0;596.0;927.0;28.0
"mazerbi01";"Mazeroski";"Bill";0.1073;0.26;0.755;0.28354967000733317;0.3672;16.0;"1972-10-04";"1956-07-07";2163.0;7755.0;769.0;2016.0;1522.0;294.0;62.0;138.0;853.0;447.0;706.0;20.0
"marisro01";"Maris";"Roger";0.2164;0.2598;0.6136;0.35146952693370165;0.4762;11.0;"1968-09-29";"1957-04-16";1463.0;5101.0;826.0;1325.0;813.0;195.0;42.0;275.0;851.0;652.0;733.0;38.0
"kubekto01";"Kubek";"Tony";0.0982;0.2661;0.761;0.28663077972266426;0.3643;8.0;"1965-10-03";"1957-04-20";1092.0;4167.0;522.0;1109.0;844.0;178.0;30.0;57.0;373.0;217.0;441.0;13.0
"cepedor01";"Cepeda";"Orlando";0.2029;0.2966;0.6499;0.356082897973527;0.4994;16.0;"1974-09-19";"1958-04-15";2124.0;7927.0;1131.0;2351.0;1528.0;417.0;27.0;379.0;1365.0;588.0;1169.0;102.0
"pinsova01";"Pinson";"Vada";0.1562;0.2858;0.6852;0.32625962847695;0.4421;17.0;"1975-09-28";"1958-04-15";2469.0;9645.0;1365.0;2757.0;1889.0;485.0;127.0;256.0;1169.0;574.0;1196.0;54.0
"aloufe01";"Alou";"Felipe";0.1465;0.2863;0.7078;0.32324140625;0.4328;16.0;"1974-04-24";"1958-06-08";2082.0;7339.0;985.0;2101.0;1487.0;359.0;49.0;206.0;852.0;423.0;706.0;57.0
"willsma01";"Wills";"Maury";0.0499;0.2812;0.8744;0.29265261674224785;0.3312;13.0;"1972-10-04";"1959-06-06";1942.0;7588.0;1067.0;2134.0;1866.0;177.0;71.0;20.0;458.0;552.0;684.0;16.0
"willibi01";"Williams";"Billy";0.2019;0.2899;0.6503;0.3600014909478168;0.4919;17.0;"1976-10-02";"1959-08-06";2488.0;9350.0;1410.0;2711.0;1763.0;434.0;88.0;426.0;1475.0;1045.0;1046.0;43.0
"gonzato01";"Gonzalez";"Tony";0.1272;0.2859;0.732;0.3278533800350263;0.4131;11.0;"1971-09-29";"1960-04-12";1559.0;5195.0;690.0;1485.0;1087.0;238.0;57.0;103.0;615.0;467.0;706.0;71.0
"javieju01";"Javier";"Julian";0.0979;0.2567;0.7624;0.2802782809917356;0.3546;12.0;"1972-10-01";"1960-05-28";1622.0;5722.0;722.0;1469.0;1120.0;216.0;55.0;78.0;506.0;314.0;812.0;21.0
"santoro01";"Santo";"Ron";0.1873;0.2768;0.6566;0.3530564646355905;0.4641;14.0;"1974-09-29";"1960-06-26";2243.0;8143.0;1138.0;2254.0;1480.0;365.0;67.0;342.0;1331.0;1108.0;1343.0;38.0
"cardele01";"Cardenas";"Leo";0.1099;0.2572;0.738;0.2888717109842684;0.3671;15.0;"1975-09-26";"1960-07-25";1941.0;6707.0;662.0;1725.0;1273.0;285.0;49.0;118.0;689.0;522.0;1135.0;28.0
"daviswi02";"Davis";"Willie";0.1327;0.2792;0.7208;0.3066364341887417;0.4118;19.0;"1979-09-30";"1960-09-08";2429.0;9174.0;1217.0;2561.0;1846.0;395.0;138.0;182.0;1053.0;418.0;977.0;51.0
"torrejo01";"Torre";"Joe";0.1547;0.2974;0.7203;0.34890017319016287;0.4521;17.0;"1977-06-17";"1960-09-25";2209.0;7874.0;996.0;2342.0;1687.0;344.0;59.0;252.0;1185.0;779.0;1094.0;85.0
"schilch01";"Schilling";"Chuck";0.0787;0.2387;0.7787;0.2749200741770978;0.3174;4.0;"1965-10-03";"1961-04-11";541.0;1969.0;230.0;470.0;366.0;76.0;5.0;23.0;146.0;176.0;236.0;11.0
"yastrca01";"Yastrzemski";"Carl";0.1768;0.2852;0.6616;0.3591955758630693;0.462;22.0;"1983-10-02";"1961-04-11";3308.0;11988.0;1816.0;3419.0;2262.0;646.0;59.0;452.0;1844.0;1845.0;1393.0;40.0
"thomale03";"Thomas";"Lee";0.1423;0.2548;0.7178;0.3135359749455338;0.3971;7.0;"1968-09-27";"1961-04-22";1027.0;3324.0;405.0;847.0;608.0;111.0;22.0;106.0;428.0;332.0;397.0;32.0
"treshto01";"Tresh";"Tom";0.1661;0.2449;0.6484;0.323127146985962;0.411;8.0;"1969-09-29";"1961-09-03";1192.0;4251.0;595.0;1041.0;675.0;179.0;34.0;153.0;530.0;550.0;698.0;40.0
"brocklo01";"Brock";"Lou";0.1176;0.2926;0.7433;0.32166663051337674;0.4102;18.0;"1979-09-30";"1961-09-10";2616.0;10332.0;1610.0;3023.0;2247.0;486.0;141.0;149.0;900.0;761.0;1730.0;49.0
"harpeto01";"Harper";"Tommy";0.1222;0.2567;0.7278;0.31417506375743837;0.3788;14.0;"1976-09-29";"1962-04-09";1810.0;6269.0;972.0;1609.0;1171.0;256.0;36.0;146.0;567.0;753.0;1080.0;35.0
"pepitjo01";"Pepitone";"Joe";0.1736;0.258;0.6867;0.3107906476155131;0.4316;11.0;"1973-05-25";"1962-04-10";1397.0;5097.0;606.0;1315.0;903.0;158.0;35.0;219.0;721.0;302.0;526.0;28.0
"charled01";"Charles";"Ed";0.1335;0.2634;0.7132;0.3143259018946275;0.3969;7.0;"1969-10-01";"1962-04-11";1005.0;3482.0;438.0;917.0;654.0;147.0;30.0;86.0;421.0;332.0;525.0;28.0
"olivato01";"Oliva";"Tony";0.1722;0.3042;0.6886;0.3480979952479953;0.4764;14.0;"1976-09-29";"1962-09-09";1676.0;6301.0;870.0;1917.0;1320.0;329.0;48.0;220.0;947.0;448.0;645.0;59.0
"alvisma01";"Alvis";"Max";0.143;0.2466;0.6927;0.29777496813663007;0.3896;8.0;"1970-09-27";"1962-09-11";1013.0;3629.0;421.0;895.0;620.0;142.0;22.0;111.0;373.0;262.0;662.0;35.0
"rosepe01";"Rose";"Pete";0.1065;0.3029;0.7554;0.3384461312188259;0.4093;23.0;"1986-08-17";"1963-04-08";3562.0;14053.0;2165.0;4256.0;3215.0;746.0;135.0;160.0;1314.0;1566.0;1143.0;107.0
"huntro01";"Hunt";"Ron";0.0737;0.273;0.8006;0.3198306481021051;0.3467;11.0;"1974-09-28";"1963-04-16";1483.0;5235.0;745.0;1429.0;1144.0;223.0;23.0;39.0;370.0;555.0;382.0;243.0
"wertdo01";"Wert";"Don";0.1016;0.2419;0.7621;0.28812106748177757;0.3435;8.0;"1971-06-11";"1963-05-11";1110.0;3840.0;417.0;929.0;708.0;129.0;15.0;77.0;366.0;389.0;529.0;31.0
"wynnji01";"Wynn";"Jim";0.1858;0.2503;0.6306;0.3463557765391436;0.436;14.0;"1977-09-27";"1963-07-10";1920.0;6653.0;1105.0;1665.0;1050.0;285.0;39.0;291.0;964.0;1224.0;1427.0;27.0
"allendi01";"Allen";"Dick";0.2418;0.2919;0.5942;0.3820040519770853;0.5336;14.0;"1977-06-19";"1963-09-03";1749.0;6332.0;1099.0;1848.0;1098.0;320.0;79.0;351.0;1119.0;894.0;1556.0;16.0
"bufordo01";"Buford";"Don";0.1151;0.2642;0.7556;0.3251183864199886;0.3793;9.0;"1972-10-03";"1963-09-14";1286.0;4553.0;718.0;1203.0;909.0;157.0;44.0;93.0;418.0;672.0;575.0;41.0
"knoopbo01";"Knoop";"Bobby";0.098;0.2363;0.75;0.2723086479591837;0.3343;8.0;"1972-09-20";"1964-04-13";1153.0;3622.0;337.0;856.0;642.0;129.0;29.0;56.0;331.0;305.0;833.0;14.0
"parkewe01";"Parker";"Wes";0.1083;0.267;0.7387;0.3142710874200426;0.3753;8.0;"1972-10-01";"1964-04-19";1288.0;4157.0;548.0;1110.0;820.0;194.0;32.0;64.0;470.0;532.0;615.0;24.0
"campabe01";"Campaneris";"Bert";0.0831;0.259;0.7875;0.28611872277122513;0.3421;19.0;"1983-10-01";"1964-07-23";2328.0;8684.0;1181.0;2249.0;1771.0;313.0;86.0;79.0;646.0;618.0;1142.0;64.0
"kessido01";"Kessinger";"Don";0.0596;0.2524;0.8198;0.2750859029779059;0.312;15.0;"1979-07-31";"1964-09-07";2078.0;7651.0;899.0;1931.0;1583.0;254.0;80.0;14.0;527.0;684.0;759.0;22.0
"beckegl01";"Beckert";"Glenn";0.0622;0.2828;0.831;0.2894555616040646;0.345;10.0;"1975-04-27";"1965-04-12";1320.0;5208.0;685.0;1473.0;1224.0;196.0;31.0;22.0;360.0;260.0;243.0;19.0
"tovarce01";"Tovar";"Cesar";0.09;0.2776;0.771;0.3061691004768953;0.3676;11.0;"1976-09-29";"1965-04-12";1488.0;5569.0;834.0;1546.0;1192.0;253.0;55.0;46.0;435.0;413.0;410.0;88.0
"clarkho01";"Clarke";"Horace";0.0576;0.2556;0.8374;0.2742968238691049;0.3131;9.0;"1974-09-15";"1965-05-13";1272.0;4813.0;548.0;1230.0;1030.0;150.0;23.0;27.0;304.0;365.0;362.0;11.0
"mayle01";"May";"Lee";0.1924;0.2669;0.643;0.32609846153846156;0.4593;17.0;"1982-09-24";"1965-09-01";2071.0;7609.0;959.0;2031.0;1306.0;340.0;31.0;354.0;1244.0;487.0;1570.0;49.0
"whitero01";"White";"Roy";0.1326;0.2711;0.7166;0.3313891806722689;0.4038;14.0;"1979-09-27";"1965-09-07";1881.0;6650.0;964.0;1803.0;1292.0;300.0;51.0;160.0;758.0;934.0;708.0;29.0
"scottge02";"Scott";"George";0.1667;0.268;0.6802;0.32790855182553297;0.4347;13.0;"1979-09-27";"1966-04-12";2034.0;7433.0;957.0;1992.0;1355.0;306.0;60.0;271.0;1051.0;699.0;1418.0;53.0
"foyjo01";"Foy";"Joe";0.124;0.2476;0.7138;0.31834294584339423;0.3716;5.0;"1971-05-27";"1966-04-13";716.0;2484.0;355.0;615.0;439.0;102.0;16.0;58.0;291.0;390.0;405.0;18.0
"millafe01";"Millan";"Felix";0.0641;0.2792;0.8213;0.2891476151849448;0.3433;11.0;"1977-08-12";"1966-06-02";1480.0;5791.0;699.0;1617.0;1328.0;229.0;38.0;22.0;403.0;318.0;242.0;63.0
"bandosa01";"Bando";"Sal";0.1545;0.2535;0.6821;0.33085110375275933;0.4081;15.0;"1981-10-03";"1966-09-03";2019.0;7060.0;982.0;1790.0;1221.0;289.0;38.0;242.0;1039.0;1031.0;923.0;75.0
"andremi01";"Andrews";"Mike";0.111;0.2577;0.7385;0.31902249375173564;0.3687;7.0;"1973-09-29";"1966-09-18";893.0;3116.0;441.0;803.0;593.0;140.0;4.0;66.0;316.0;458.0;390.0;16.0
"carewro01";"Carew";"Rod";0.1014;0.3278;0.7874;0.35334748978400465;0.4292;18.0;"1985-10-05";"1967-04-11";2469.0;9315.0;1424.0;3053.0;2404.0;445.0;112.0;92.0;1015.0;1018.0;1028.0;25.0
"jacksre01";"Jackson";"Reggie";0.2281;0.262;0.584;0.35846501468102143;0.4901;20.0;"1987-10-04";"1967-06-09";2820.0;9864.0;1551.0;2584.0;1509.0;463.0;49.0;563.0;1702.0;1375.0;2597.0;96.0
"raderdo02";"Rader";"Doug";0.1519;0.2511;0.6628;0.3109441258255127;0.403;10.0;"1977-10-02";"1967-07-31";1465.0;5186.0;631.0;1302.0;863.0;245.0;39.0;155.0;722.0;528.0;1055.0;40.0
"benchjo01";"Bench";"Johnny";0.2084;0.2674;0.6123;0.3442928663616097;0.4758;16.0;"1983-09-29";"1967-08-28";2158.0;7658.0;1091.0;2048.0;1254.0;381.0;24.0;389.0;1376.0;891.0;1278.0;19.0
"bondsbo01";"Bonds";"Bobby";0.203;0.2678;0.6288;0.35190851356419556;0.4708;13.0;"1981-10-04";"1968-06-25";1849.0;7043.0;1258.0;1886.0;1186.0;302.0;66.0;332.0;1024.0;914.0;1757.0;53.0
"mayca01";"May";"Carlos";0.1184;0.2735;0.7471;0.3245465721040189;0.392;9.0;"1977-10-02";"1968-09-06";1165.0;4120.0;545.0;1127.0;842.0;172.0;23.0;90.0;536.0;512.0;565.0;45.0
"oliveal01";"Oliver";"Al";0.1481;0.3031;0.6992;0.3350150280024891;0.4512;17.0;"1985-10-05";"1968-09-23";2368.0;9049.0;1189.0;2743.0;1918.0;529.0;77.0;219.0;1326.0;535.0;756.0;82.0
