"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
8.0;"bagweje01";0.4360091164095371;0.5907;0.3043;0.2865;0.5497
16.0;"baineha01";0.3834228318584071;0.503;0.3111;0.1919;0.6688
8.0;"bellbu01";0.3704227360308285;0.498;0.3286;0.1694;0.7205
6.0;"bellge02";0.3967564024390244;0.6049;0.3082;0.2967;0.5585
2.0;"berkmla01";0.4349289897510981;0.6205;0.331;0.2894;0.5079
7.0;"bicheda01";0.40958121911037887;0.62;0.3402;0.2798;0.5939
9.0;"biggicr01";0.39204972899728996;0.5008;0.3086;0.1922;0.6492
5.0;"boggswa01";0.43497372488408037;0.588;0.363;0.225;0.65
15.0;"bondsba01";0.5415933227344992;0.8634;0.3277;0.5357;0.3141
5.0;"bonilbo01";0.3709202380952381;0.4922;0.3016;0.1906;0.6092
9.0;"boonebr01";0.3963054411764706;0.5778;0.3307;0.2472;0.6262
7.0;"brettge01";0.4582290581162325;0.6637;0.3898;0.2739;0.6229
1.0;"brunato01";0.36546875;0.4708;0.2721;0.1987;0.5952
11.0;"bucknbi01";0.3371195688225539;0.4567;0.3235;0.1332;0.7112
6.0;"butlebr01";0.3619845779220779;0.4253;0.295;0.1303;0.7273
9.0;"caminke01";0.42211366559485525;0.6209;0.326;0.2949;0.5562
3.0;"cartejo01";0.35681787234042556;0.5143;0.3017;0.2127;0.63
4.0;"castilu01";0.3603479740680713;0.3878;0.334;0.0538;0.8778
7.0;"castivi02";0.39918086956521737;0.5891;0.3194;0.2698;0.6214
12.0;"chambch01";0.3540208835341366;0.481;0.2796;0.2013;0.624
3.0;"clarkwi02";0.3972689863842663;0.5459;0.3333;0.2126;0.6429
8.0;"claytro01";0.34067274509803924;0.4452;0.2882;0.157;0.7015
2.0;"colemvi01";0.3221985652797704;0.3579;0.2889;0.069;0.85
9.0;"coopece01";0.3865903963414634;0.5386;0.3521;0.1865;0.7169
5.0;"damonjo01";0.36978628257887514;0.4947;0.3267;0.1679;0.6822
16.0;"davisch01";0.37678402903811253;0.5094;0.2788;0.2306;0.6241
11.0;"dawsoan01";0.377098320610687;0.5684;0.2866;0.2818;0.5787
7.0;"delgaca01";0.46380620490620494;0.6643;0.3445;0.3199;0.4949
10.0;"deshide01";0.34547225705329154;0.4439;0.2959;0.148;0.6506
4.0;"erstada01";0.40191562499999994;0.5414;0.355;0.1864;0.7083
15.0;"evansdw01";0.41356482334869427;0.5693;0.305;0.2643;0.5576
11.0;"finlest01";0.37855814332247556;0.5436;0.2801;0.2635;0.5563
10.0;"frymatr01";0.38382286585365855;0.5157;0.3206;0.1951;0.6522
7.0;"gaettga01";0.37757235294117647;0.5513;0.3013;0.25;0.5816
7.0;"gilesbr02";0.438143064516129;0.6217;0.2978;0.3239;0.4595
2.0;"glaustr01";0.4215025297619048;0.6039;0.2842;0.3197;0.4688
11.0;"gonzalu01";0.4562735795454546;0.688;0.3251;0.3629;0.4949
7.0;"gracema01";0.378784602917342;0.5163;0.3261;0.1902;0.6111
6.0;"greensh01";0.40628251445086705;0.5879;0.3094;0.2785;0.5421
7.0;"griffke02";0.42232948717948715;0.6275;0.3028;0.3248;0.5333
7.0;"grissma02";0.35478569424964934;0.4888;0.3085;0.1803;0.686
4.0;"grudzma01";0.3516804143126177;0.4365;0.3258;0.1107;0.7799
4.0;"guerrvl01";0.4416453074433657;0.6637;0.345;0.3187;0.5787
8.0;"guilloz01";0.28293298097251585;0.3742;0.2801;0.0941;0.7578
5.0;"gwynnto01";0.40023404907975463;0.511;0.3701;0.1409;0.7431
3.0;"heltoto01";0.4697702222222222;0.6983;0.3724;0.3259;0.5231
11.0;"henderi01";0.4299462711864407;0.5767;0.3252;0.2515;0.5975
6.0;"herrto01";0.3411192419825073;0.4161;0.302;0.1141;0.7278
6.0;"hrbekke01";0.39205776173285195;0.5451;0.2851;0.26;0.5956
4.0;"jeterde01";0.41995444596443227;0.5518;0.3493;0.2026;0.6804
4.0;"jonesan01";0.38486090534979417;0.5412;0.3034;0.2378;0.608
6.0;"jonesch06";0.4418859443631039;0.6332;0.3192;0.3139;0.5193
1.0;"joynewa01";0.3722039123630673;0.5284;0.2855;0.2429;0.5776
8.0;"karroer01";0.38358059467918626;0.5502;0.3045;0.2457;0.5795
4.0;"kendaja01";0.38099451038575666;0.4698;0.3195;0.1503;0.7135
8.0;"kentje01";0.4258840348330915;0.5963;0.3339;0.2624;0.5867
11.0;"lansfca01";0.3510029363784665;0.4047;0.3358;0.069;0.827
3.0;"loftoke01";0.39827470817120625;0.5359;0.3486;0.1874;0.6688
7.0;"martiti02";0.39163055141579733;0.5774;0.2963;0.2811;0.5625
12.0;"matthga01";0.36743652892561984;0.4277;0.2912;0.1365;0.7413
4.0;"mattido01";0.4010647945205479;0.5731;0.3516;0.2216;0.6387
3.0;"mcgeewi01";0.3780255778120184;0.5033;0.3529;0.1503;0.75
13.0;"mcgrifr01";0.4020049261083744;0.552;0.31;0.242;0.6159
9.0;"molitpa01";0.4227235514018692;0.5656;0.3527;0.2129;0.622
4.0;"mondera01";0.3769519637462236;0.5406;0.3101;0.2305;0.5969
11.0;"murphda05";0.41151460843373494;0.5795;0.2951;0.2845;0.5689
13.0;"murraed02";0.3929266025641026;0.5197;0.3297;0.19;0.7228
4.0;"olerujo01";0.4365687306501548;0.5989;0.363;0.2359;0.6
14.0;"oliveal01";0.37884247391952314;0.5138;0.3306;0.1831;0.6716
12.0;"oneilpa01";0.3826664546899841;0.5136;0.3237;0.1899;0.648
13.0;"palmera01";0.4346242424242424;0.6301;0.3239;0.3062;0.5738
7.0;"pendlte01";0.36815166931637516;0.5171;0.3191;0.198;0.6578
11.0;"phillto02";0.37466576319543515;0.3975;0.3127;0.0848;0.8079
5.0;"piazzmi01";0.4462591639871382;0.6385;0.3615;0.277;0.6368
1.0;"pierrju01";0.34557874251497006;0.4149;0.3274;0.0875;0.8069
6.0;"ramirma02";0.455805705229794;0.6628;0.3333;0.3295;0.5345
3.0;"ramirra01";0.308576443768997;0.3682;0.2974;0.0707;0.8649
5.0;"randowi01";0.3696181674565561;0.4074;0.2943;0.1131;0.755
10.0;"ripkeca01";0.3877358974358975;0.5662;0.3231;0.2431;0.5952
8.0;"rodriiv01";0.3865141719745223;0.5583;0.3317;0.2267;0.6734
9.0;"sandbry01";0.38159370314842583;0.5593;0.3057;0.2537;0.6117
5.0;"saxst01";0.3555227994227994;0.4408;0.3318;0.109;0.7476
8.0;"schmimi01";0.41338862928348913;0.6241;0.2865;0.3376;0.4841
8.0;"smallro02";0.34794619883040934;0.4523;0.2749;0.1774;0.6532
9.0;"smithoz01";0.338862518089725;0.3833;0.3033;0.08;0.7582
12.0;"sosasa01";0.4689545994065281;0.7366;0.3276;0.409;0.455
12.0;"surhobj01";0.3558866206896552;0.4918;0.3076;0.1842;0.6763
6.0;"thomafr04";0.4478468699839486;0.6262;0.3491;0.277;0.6413
9.0;"vanslan01";0.3720080763582966;0.5049;0.3241;0.1808;0.6432
